County,CountyId,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
Abbeville County,45001,24788,12044,12744,1.3,68.9,27.6,0.1,0.3,0.0,19452,35254,2259,19234,799,22.7,9505,9.4
Acadia Parish,22001,62607,30433,32174,2.4,77.5,17.6,0.1,0.1,0.0,45197,40492,2544,21591,1002,21.5,24982,8.9
Accomack County,51001,32840,16079,16761,8.8,60.3,28.3,0.3,0.7,0.0,24408,42260,2253,24266,1564,19.8,13837,5.4
Ada County,16001,435117,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,316189,60151,1294,31642,725,11.8,214984,4.3
Adair County,109004,74069,36184,37885,12.2,321.3,6.6,42.0,3.4,0.30000000000000004,57071,158168,9749,85623,5587,88.0,31072,20.2
Adams County,364016,831788,417154,414634,141.9,955.1,68.3,5.0,12.5,0.4,560280,581198,40035,302575,17814,193.70000000000002,400309,71.8
Addison County,50001,36825,18214,18611,2.2,93.0,0.9,0.3,1.9,0.0,29510,61875,2338,31051,1033,7.8,19872,4.4
Adjuntas Municipio,72001,18525,9297,9228,99.6,0.3,0.0,0.0,0.0,0.0,14345,11680,1168,7117,737,64.1,3719,40.9
Aguada Municipio,72003,39470,19308,20162,93.7,4.1,0.1,0.0,0.0,0.0,31286,16199,1510,9001,605,52.2,11901,17.6
Aguadilla Municipio,72005,55722,27122,28600,97.3,1.0,0.3,0.0,0.3,0.0,43718,16821,939,10872,774,51.6,13862,22.6
Aguas Buenas Municipio,72007,26855,13057,13798,99.4,0.6,0.0,0.0,0.0,0.0,20970,16733,1797,10615,2016,48.3,7433,20.7
Aibonito Municipio,72009,24008,11552,12456,99.5,0.3,0.0,0.0,0.1,0.0,18901,18387,1257,10224,1120,49.2,6088,6.4
Aiken County,45003,165707,80260,85447,5.5,66.7,24.5,0.2,1.0,0.0,124553,47713,1780,26222,719,16.7,70753,9.0
