State,Severity,Start_Lat,Start_Lng,distance,Temperature,Visibility,Wind_Speed(mph),severity_is_one,severity_is_two,severity_is_three,severity_is_four,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
Alabama,102353.0,1446216.229647,-3809552.796244,9396.059003249053,2932305.9,397480.3,308991.6,133.0,29457.0,13666.0,577.0,4842699,2347140,2495559,4519.0,71842.8,37135.2,531.3,1259.2,33.5,3644170,53905629.0,9678764.0,28666498.0,4370724.0,23958.7,2054101,10117.5
Arkansas,5224.0,66715.064823,-175797.52492,1984.393998089228,119315.2,16601.45,14596.2,11.0,959.0,457.0,481.0,2976037,1459795,1516242,4414.2,48088.2,13020.2,367.3,818.6,103.2,2182013,30219518.0,5192124.0,16170638.0,2461757.0,13387.4,1276466,4822.2
Arizona,163332.0,2507507.399297,-8421527.143605,21447.568021934767,5694905.3,796755.67,557597.3,6607.0,52771.0,12497.0,3423.0,6707875,3333786,3374089,45184.2,82794.9,5766.8,6488.2,4483.9,256.8,4591789,85987503.0,13640185.0,42169665.0,6048577.0,26220.6,2942058,11288.1
California,1805914.0,28017111.50057,-94207367.525323,86363.8999857997,51216920.1,7218566.49,5636507.3,5644.0,556066.0,218570.0,8107.0,38773436,19221596,19551840,300205.7,311788.2,44004.7,3077.8,106445.4,2686.2,24787024,580040211.0,96145358.0,269711837.0,37997874.0,121934.8,17962848,62335.4
Colorado,122723.0,1917303.052426,-5086215.531456,24512.70499139081,2374263.0,629893.2,411957.3,513.0,25115.0,19280.0,3535.0,5407513,2711088,2696425,25980.8,85458.8,4237.0,707.5,3421.5,156.8,3867317,85661980.0,12288687.0,42894735.0,5737190.0,14976.3,2755877,6757.3
Connecticut,67280.0,1064879.474889,-1871040.267418,23911.329999590893,1378230.2,228634.37,217508.3,22.0,11902.0,11530.0,2216.0,3546310,1727266,1819044,13271.4,54148.4,8538.5,112.5,3392.4,14.9,2566993,64812649.0,10626099.0,32770817.0,4439541.0,9160.5,1789407,6361.0
District of Columbia,10065.0,154260.576255,-305425.08124,443.27000017928066,237181.3,37627.94,34521.7,38.0,2371.0,943.0,614.0,662186,314355,347831,1750.6,5915.1,8868.8,31.0,590.0,6.1,494179,14643667.0,2702723.0,8814148.0,1309502.0,3176.9,353858,1734.2
Delaware,13561.0,224632.761996,-428555.492714,1645.1309996335153,322894.3,51753.8,52893.7,10.0,4231.0,623.0,805.0,941602,455751,485851,1919.5,13551.3,4507.8,66.1,750.7,4.2,695326,13745428.0,2022560.0,7215120.0,1046076.0,2762.5,440722,1400.6
Florida,597615.0,6995258.326387,-20573188.053811,86896.15201412233,19014093.8,2379585.68,2148651.1,2955.0,162021.0,78682.0,8643.0,20158603,9853538,10305065,92350.5,238335.1,62323.9,899.6,9692.6,213.1,14350661,223651644.0,38765939.0,124381430.0,19735060.0,66122.6,8997305,30600.5
Georgia,243024.0,3078373.866764,-7688827.082729,24397.914994818995,5983247.9,824867.43,666558.0,402.0,38048.0,45914.0,7196.0,10186727,4957093,5229634,16821.1,104391.0,62964.1,355.2,6354.7,86.2,7142446,106627231.0,17884024.0,53420463.0,7966107.0,37361.9,4604292,15964.3
Iowa,28955.0,457586.922465,-1025391.237499,20129.01299181958,526729.7,94584.49,114399.1,6.0,4827.0,5249.0,887.0,3112659,1544898,1567761,4637.1,71428.5,2855.4,254.1,1520.4,76.9,2297145,46234314.0,6251240.0,23935163.0,2968412.0,10404.6,1598092,3587.9
Idaho,4536.0,86114.123876,-223026.913546,3070.570000261204,97829.5,17024.95,16781.5,0.0,1500.0,200.0,234.0,1657356,830618,826738,3552.5,24526.6,182.1,455.6,345.8,34.4,1168148,15273740.0,2178612.0,7535799.0,1004677.0,4567.8,748658,1669.5
